table_name,column_name,data_type
app_settings,key,text
app_settings,value,text
app_settings,updated_at,timestamp with time zone
branches,id,uuid
branches,name,text
branches,location,text
branches,type,text
branches,created_at,timestamp with time zone
branches,code,text
branches,full_address,text
branches,city,text
branches,state,text
branches,state_code,text
branches,pincode,text
branches,manager_name,text
branches,phone,text
branches,email,text
branches,gstin,text
brands,id,uuid
brands,name,text
brands,created_at,timestamp with time zone
categories,id,uuid
categories,name,text
categories,created_at,timestamp with time zone
customers,id,uuid
customers,phone,character varying
customers,full_name,character varying
customers,email,character varying
customers,gstin,character varying
customers,loyalty_points,integer
customers,branch_id,uuid
customers,created_at,timestamp with time zone
debit_notes,id,uuid
debit_notes,inventory_id,uuid
debit_notes,po_id,uuid
debit_notes,amount,numeric
debit_notes,reason,text
debit_notes,created_at,timestamp with time zone
debit_notes,created_by,uuid
debit_notes,debit_note_number,text
debit_notes,vendor_id,uuid
debit_notes,evidence_url,text
debit_notes,status,text
debit_notes,metadata,jsonb
discrepancies,id,uuid
discrepancies,po_id,uuid
discrepancies,vendor_id,uuid
discrepancies,discrepancy_type,text
discrepancies,detected_gap,numeric
discrepancies,status,text
discrepancies,admin_comment,text
discrepancies,created_at,timestamp with time zone
discrepancies,resolved_at,timestamp with time zone
grn_items,id,uuid
grn_items,grn_id,uuid
grn_items,product_id,uuid
grn_items,quantity,integer
grn_items,serial_numbers,ARRAY
grns,id,uuid
grns,grn_number,text
grns,po_id,uuid
grns,branch_id,uuid
grns,originator_id,uuid
grns,condition_notes,text
grns,created_at,timestamp with time zone
hsn_master,hsn_code,text
hsn_master,description,text
hsn_master,category_name,text
hsn_master,gst_rate,numeric
hsn_master,created_at,timestamp with time zone
hsn_master,search_tags,ARRAY
inventory,id,uuid
inventory,serial_number,text
inventory,hsn_code,text
inventory,status,USER-DEFINED
inventory,branch_id,uuid
inventory,price,numeric
inventory,created_at,timestamp with time zone
inventory,landed_cost,numeric
inventory,source_po_id,uuid
inventory,product_id,uuid
po_terms_templates,id,uuid
po_terms_templates,name,text
po_terms_templates,content,text
po_terms_templates,is_default,boolean
po_terms_templates,created_at,timestamp with time zone
products,id,uuid
products,model_name,text
products,brand,text
products,category,text
products,hsn_code,character varying
products,base_price,numeric
products,description,text
products,created_at,timestamp with time zone
products,updated_at,timestamp with time zone
products,product_code,text
products,min_stock_level,integer
products,tracking_type,text
products,is_archived,boolean
products,tax_rate,numeric
